"id";"sex";"affiliated";"time_secs"
2251;"m";1;1149.6
2022;"m";1;1150.3
3395;"m";1;1150.3
6545;"m";0;1150.4
1977;"f";1;1150.9
3889;"f";1;1151.3
5690;"m";1;1151.7
9325;"f";1;1151.9
2233;"m";1;1152.2
3907;"m";1;1152.3
5601;"m";1;1152.3
4038;"m";1;1152.8
6540;"m";0;1153.1
8756;"m";0;1153.7
6769;"m";1;1153.8
3304;"m";0;1154.1
3757;"f";0;1154.3
3452;"f";1;1154.4
6240;"m";1;1154.5
2701;"m";1;1155.2
3284;"m";0;1155.3
4079;"m";1;1155.4
2428;"m";0;1156.1
2397;"m";0;1156.2
2;"f";0;1156.2
23300;"m";0;1156.8
3851;"m";0;1156.9
7226;"m";0;1157.4
2879;"m";1;1157.6
6621;"m";1;1157.8
5505;"m";1;1157.8
6098;"m";0;1157.8
3368;"m";1;1158
2306;"m";1;1158.1
2518;"m";0;1158.3
2177;"m";1;1158.3
5487;"m";1;1158.7
4480;"m";0;1158.8
4569;"m";1;1159.2
12105;"f";0;1159.2
5394;"m";1;1159.3
3552;"m";1;1159.4
3294;"f";0;1159.8
5935;"m";1;1159.8
3752;"m";0;1159.9
3033;"m";1;1160
15944;"m";1;1160.2
2978;"m";0;1160.3
1718;"m";0;1160.5
5390;"m";0;1160.8
4442;"m";0;1160.9
3588;"m";1;1161.1
2953;"m";1;1161.2
7968;"m";1;1161.5
2123;"m";0;1161.6
11178;"m";1;1161.7
2833;"f";1;1162.2
16666;"m";1;1162.4
2464;"m";0;1162.7
4276;"m";0;1163.6
5686;"m";1;1163.6
11770;"m";0;1163.6
3553;"m";0;1163.7
10926;"m";0;1164.1
3614;"m";1;1164.3
11547;"m";1;1164.3
9919;"m";1;1164.4
4047;"m";1;1164.5
2916;"m";1;1164.7
15005;"m";1;1165
19875;"m";1;1165.5
2114;"m";0;1165.7
6424;"m";0;1165.9
8578;"m";0;1166
5780;"m";1;1166.2
6926;"m";1;1166.4
2160;"m";1;1166.4
5608;"m";1;1166.4
1961;"m";1;1166.4
3711;"m";1;1166.7
19330;"m";0;1167
5462;"f";1;1167.6
1661;"m";1;1167.6
6883;"m";1;1167.7
9653;"m";1;1167.9
7823;"m";0;1168.1
1791;"m";0;1168.3
3196;"f";1;1168.4
3801;"m";0;1168.7
3680;"m";0;1168.9
5885;"m";1;1169.2
2282;"m";0;1169.2
16003;"f";1;1169.2
6674;"m";0;1169.2
5424;"m";0;1169.3
5808;"m";0;1169.3
3544;"f";0;1169.3
10120;"m";1;1169.5
6211;"m";1;1169.8
22069;"m";0;1169.8
5259;"m";0;1169.9
2359;"m";1;1170
5669;"m";1;1170
9927;"m";0;1170
2151;"m";0;1170.2
3603;"m";0;1170.3
3497;"m";0;1170.4
6016;"m";1;1170.8
8561;"m";0;1171
9979;"m";1;1171.6
5982;"m";1;1171.6
6072;"m";1;1171.7
4167;"f";1;1171.7
3577;"m";0;1172.2
3574;"m";0;1172.5
2861;"m";0;1172.6
3265;"m";0;1173
8447;"f";1;1173
9356;"m";1;1173
5514;"m";1;1173
7469;"m";0;1173.5
11589;"m";0;1173.8
3980;"f";1;1174.4
2736;"m";0;1174.4
15204;"m";1;1174.5
8548;"m";1;1174.8
2080;"f";1;1175.1
30149;"m";0;1175.3
2945;"m";0;1175.4
5429;"m";1;1175.5
4096;"m";0;1175.9
4266;"f";1;1176.5
13280;"m";0;1176.6
6716;"m";1;1177
4725;"m";0;1177.5
5371;"m";0;1177.9
3270;"m";1;1178
3873;"m";0;1178.1
10198;"m";1;1178.4
16769;"m";0;1178.5
3471;"m";0;1178.5
7999;"m";0;1178.7
16680;"m";1;1178.8
5597;"m";0;1179.2
2677;"m";1;1179.3
2571;"m";1;1179.8
6094;"m";0;1179.9
6975;"m";1;1180
15580;"m";1;1180
2533;"m";0;1180.2
4474;"m";0;1180.3
3508;"m";0;1180.4
2411;"m";1;1180.6
6496;"m";0;1180.7
5402;"m";1;1181
5815;"m";1;1181.2
2407;"m";0;1181.3
20733;"m";1;1181.3
3724;"m";0;1181.3
5349;"m";1;1181.7
5239;"m";0;1182
4005;"m";1;1182.2
3846;"m";0;1182.3
2062;"m";0;1182.5
4214;"m";1;1182.5
3667;"f";1;1182.6
5056;"m";0;1182.8
3187;"f";1;1183
2785;"f";0;1183.1
9970;"m";1;1183.1
2981;"m";0;1183.1
2564;"f";0;1183.2
13590;"m";0;1183.5
3783;"m";1;1183.9
3663;"m";1;1184
10008;"m";0;1184.4
6336;"m";1;1184.4
3592;"m";0;1184.5
2339;"m";1;1185.1
3305;"m";1;1185.3
3451;"m";1;1185.3
10429;"m";1;1185.4
6288;"m";0;1185.5
8637;"m";1;1185.9
6625;"m";1;1185.9
5928;"m";1;1186
3226;"m";0;1186.1
6684;"m";0;1186.3
3817;"m";1;1186.5
3629;"m";0;1186.6
3557;"f";0;1186.8
5721;"m";0;1187
4534;"m";1;1187
1703;"m";1;1187
2129;"m";1;1187
6333;"m";1;1187.2
5963;"m";1;1187.2
2530;"m";0;1187.3
4131;"m";1;1187.5
6471;"m";1;1188
13959;"m";1;1188.9
3578;"m";1;1189.2
3921;"f";0;1189.5
3509;"m";0;1189.5
16944;"m";1;1189.5
7394;"m";0;1189.8
6585;"m";1;1189.8
4510;"m";1;1190
2767;"f";0;1191
3297;"m";0;1191.1
3413;"m";0;1191.1
6520;"m";1;1191.8
5271;"m";1;1191.9
2636;"m";0;1192
2835;"m";1;1192.9
4156;"m";0;1193.1
2499;"m";0;1193.3
4859;"m";0;1193.7
1624;"m";0;1193.8
9541;"m";1;1194
20328;"m";1;1194.1
2438;"m";1;1194.5
2575;"m";0;1194.8
6794;"m";1;1194.8
10641;"m";1;1194.8
6045;"m";1;1195.2
5433;"m";1;1195.2
4302;"m";1;1195.5
6487;"m";0;1195.6
5398;"m";1;1195.7
4154;"m";0;1195.8
6488;"m";0;1195.9
9061;"m";1;1196.1
1696;"m";1;1196.6
2873;"m";0;1196.7
3281;"m";1;1197.1
4676;"f";1;1197.1
11771;"m";0;1197.2
20460;"m";1;1197.2
6884;"m";1;1197.5
3511;"f";0;1198
2557;"m";0;1198.1
2774;"m";0;1198.3
9083;"m";0;1198.5
6510;"m";0;1198.6
6032;"m";1;1198.8
6217;"m";1;1199
6478;"m";1;1199.3
10692;"m";1;1199.6
2541;"m";0;1199.7
6944;"m";1;1199.7
2508;"m";1;1199.7
14929;"m";1;1199.9
2509;"m";1;1199.9
5740;"m";1;1200.8
3765;"m";1;1201
5221;"m";1;1201.4
3555;"m";0;1201.4
4463;"m";0;1201.5
4512;"f";0;1201.6
2549;"m";0;1201.7
20931;"m";0;1201.8
23368;"f";1;1202.2
5095;"m";0;1202.9
16453;"f";1;1203
4407;"m";1;1203.3
1931;"m";1;1203.4
6093;"m";0;1203.5
4945;"m";1;1203.6
4910;"m";1;1203.7
4911;"m";1;1203.7
4917;"f";1;1203.7
3351;"m";1;1203.7
22985;"m";0;1204
6667;"m";0;1204.2
4212;"m";0;1204.5
3579;"f";0;1204.7
4073;"m";1;1205.1
4908;"m";1;1205.1
4905;"m";1;1205.2
15133;"m";1;1205.2
2690;"m";0;1205.6
19125;"m";1;1205.7
3853;"m";0;1205.7
15152;"m";1;1205.7
2781;"m";0;1206.1
5948;"m";0;1206.1
2793;"m";1;1206.3
1692;"m";0;1206.7
2976;"m";0;1206.8
4920;"m";1;1207
1973;"m";1;1207.2
2081;"m";0;1207.2
3466;"m";1;1207.3
2302;"m";0;1207.4
1713;"m";0;1207.5
